Hours
           1       7      56       1
           2       8      56       1
           3      36      56       1
           4      45      56       1
           5      60      56       1
           6      74      56       1
           7      82      56       1
           8      98      56       1
           9     106      56       1
          10     115      56       1
          11     120      56       1
          12     134      56       1
          13     139      56       1
          14     142      56       1
          15     145      56       1
          16     153      56       1
          17     167      56       1
          18     174      56       1
          19     183      56       1
          20     196      56       1
          21     200      56       1
          22     214      56       1
          23     223      56       1
          24     246      56       1
          25     257      56       1
          26     277      56       1
          27     283      56       1
          28     286      56       1
          29     292      56       1
          30     297      56       1
          31     301      56       1
          32     302      56       1
          33     310      56       1
          34     317      56       1
          35     319      56       1
          36     323      56       1
          37     324      56       1
          38     338      56       1
          39     342      56       1
          40     345      56       1
          41     350      56       1
          42     352      56       1
          43     356      56       1
          44     367      56       1
          45     373      56       1
          46     373      56       1
          47     378      56       1
          48     381      56       1
          49     383      56       1
          50     384      56       1
          51     384      56       1
          52     387      56       1
          53     387      56       1
          54     387      56       1
          55     388      56       1
          56     393      56       1
          57     398      56       1
          58     400      56       1
          59     407      56       1
          60     413      56       1
          61     414      56       1
          62     419      56       1
          63     420      56       1
          64     423      56       1
          65     429      56       1
          66     440      56       1
          67     443      56       1
          68     448      56       1
          69     454      56       1
          70     456      56       1
          71     456      56       1
          72     456      56       1
          73     457      56       1
          74     458      56       1
          75     459      56       1
          76     459      56       1
          77     459      56       1
          78     460      56       1
          79     460      56       1
          80     460      56       1
          81     461      56       1
